arrest_id_x,person_id,age_at_arrest,sex,race,arrest_date_univ,arrest_id_y,charge_degree,offense_category,arrest_date_event,y,current_charge_felony,num_fel_arrests_last_year
5118851,2556504,39.15068493150685,F,White,2017-09-26,280496,misdemeanor,other,2020-02-05,0,0,0
3376936,85370,32.28219178082192,M,,2018-07-24,2137704,felony,violent,2019-03-04,1,1,0
6939057,112145,22.775342465753425,M,mixed,2016-06-17,11074891,misdemeanor,property,2012-10-31,0,0,0
4973877,910635,61.016438356164386,M,Black,2017-10-22,10585921,misdemeanor,other,2013-04-25,0,0,0
5226476,85929,35.0,M,Black,2017-09-08,5226476,misdemeanor,violent,2017-09-08,0,0,0
6778366,41991,24.93972602739726,M,White,2016-08-05,19702134,misdemeanor,other,2012-02-06,1,0,0
3377366,81249,50.26849315068493,M,Black,2018-07-24,11078325,misdemeanor,drug,2012-10-27,0,0,0
4810567,1301492,26.764383561643836,M,Black,2017-11-16,10987762,felony,violent,2012-11-30,0,1,0
6892870,909864,22.273972602739725,M,Black,2016-07-02,7992738,felony,drug,2015-09-03,0,1,2
6704707,36554,36.23835616438356,M,mixed,2016-08-26,6704707,misdemeanor,property,2016-08-26,0,0,0
6759183,79024,37.75616438356165,M,Black,2016-08-10,11999150,misdemeanor,other,2018-12-14,0,0,0
5053285,442499,29.23835616438356,M,White,2017-10-06,9596401,misdemeanor,other,2014-03-27,0,0,0
4100820,66832,33.62465753424657,M,Black,2018-03-28,4100820,felony,violent,2018-03-28,1,1,0
7255033,69058,49.24931506849315,F,mixed,2016-04-10,4570805,misdemeanor,other,2018-01-01,1,0,0
3839724,1039827,22.438356164383563,M,Black,2018-05-01,3839725,misdemeanor,other,2018-05-01,0,0,0
5757564,47004,55.87123287671233,M,Black,2017-05-18,5276270,misdemeanor,violent,2017-08-29,0,0,0
6928740,1124386,19.561643835616437,M,Black,2016-06-21,4598396,felony,drug,2017-12-24,1,1,0
3839724,1039827,22.438356164383563,M,Black,2018-05-01,5842383,misdemeanor,property,2017-04-26,0,0,0
3052452,1127005,52.342465753424655,M,White,2018-09-08,3086892,misdemeanor,other,2018-09-03,0,0,0
6816869,85806,30.0986301369863,M,White,2016-07-23,4096594,misdemeanor,other,2020-08-10,1,0,1
6794396,991124,53.536986301369865,M,Black,2016-07-30,6794396,felony,property,2016-07-30,1,1,0
6845142,1072559,55.02739726027397,M,White,2016-07-15,6250144,misdemeanor,property,2017-01-11,0,0,0
4534880,767695,39.654794520547945,M,Black,2018-01-10,4534880,misdemeanor,drug,2018-01-10,0,0,0
5155920,92636,56.054794520547944,M,Black,2017-09-19,8047838,misdemeanor,property,2015-08-18,0,0,0
5293905,1009103,24.052054794520547,F,Black,2017-08-25,5293905,misdemeanor,drug,2017-08-25,1,0,0
6995174,33633,18.2986301369863,M,mixed,2016-06-01,5803636,misdemeanor,violent,2017-05-06,1,0,0
2907915,115414,26.783561643835615,M,,2018-10-05,10321175,misdemeanor,drug,2013-07-27,0,0,0
5293905,1009103,24.052054794520547,F,Black,2017-08-25,3679683,misdemeanor,drug,2018-05-30,1,0,0
7278705,101916,25.991780821917807,M,Black,2016-04-03,6777349,misdemeanor,other,2016-08-05,0,0,0
6037598,92826,40.846575342465755,M,Black,2017-03-07,6139694,misdemeanor,other,2017-02-09,0,0,0
3013712,10237,26.4986301369863,M,Black,2018-09-16,11544109,misdemeanor,drug,2012-05-22,0,0,0
4652942,8089,22.35890410958904,M,Black,2017-12-12,6340797,felony,drug,2016-12-13,0,1,2
7255033,69058,49.24931506849315,F,mixed,2016-04-10,3940193,misdemeanor,other,2018-04-14,1,0,0
